,score,tweet
42,2.0,"hej dragane ja sad sjedim pored tebe i nesto pokusavam...sta....nemam pojma :)
"
43,2.0,"Me corte el cabello, al rape ya estaba ostinado con mi cabezota
"
44,0.0,"Retweet @cnnbrk: Actor Paul Newman has died of cancer at age 83, a spokeswoman says.  What a great actor.  He will be missed.
"
45,2.0,"c'est fou comme Direct 8 essaye de faire bien ... mais dans le fond, c'est pas terrible du tout!
"
46,0.0,"so sick of being sick.
"
47,0.0,"wallowing in a depression comprised of despondency, sheer exhaustion, low motivation. oh wait, that's called burn-out syndrome.
"
48,2.0,"to the dr at the vet hospital: no, WE are not getting a widdel rabies shot.
"
49,1.0,"Eric is so cute! Anyone dare say he looks like his dad is dead meat :p
"
50,0.0,"watching my parents get older is very difficult and sad in some ways.
"
51,1.0,"it was a jazz band show, I busted a killer solo, we think dad recorded it, so I'll try and have it on youtube tomorrow
"
52,0.0,"@StephRagland I'm  sad I can't be there
"
53,1.0,"Well looks like the spoilers were dead on. This shit is da awesomes! Hello flash forwards...
"
54,0.0,"hacking up lungs and sniffling round sick :(
"
55,0.0,"Very very sad :( trenton george hates me
"
56,2.0,"Show me a depressed insect, and I'll show you a fly that's down.
"
57,2.0,"@Chria I have died a silent death by veg in your absence Chria. Thanks for the back up!
"
58,2.0,"Falling asleep to the spinning wheel of death on Bridge trying to choose slideshow wedd. images. Trip to library and guests to arrive soon!
"
59,2.0,"Still recovering from Superbowl sadness.  Great game, sad ending.. at least for me!  Feeling all blah today.
"
60,2.0,"Halp!  In culinary dead zone - please send file powder and shrimp heads - this town needs gumbo!
"
61,2.0,"Youngling. Other younglings. Sticks. Dead possum. You get the idea. &quot;Wash your hands, youngling.&quot;
"
62,2.0,"Well look that my follows list just got a lot shorter... Thank GOD. I was really get sick 'certain' ones
"
63,0.0,"So fucking dead in austin tonight. Expected I guess.
"
64,2.0,"called Transportation, sending a bus...free day over=2 sad kids...
"
65,2.0,"Just fixed my Delete key. Was giving me grief earlier.
"
66,2.0,"at vet with 2 very unhappy cats. Rachel Ray and orgasmic diets on tv. Apparently they don't work--who woulda thunk?
"
67,2.0,"&quot;Only those who are not Afraid to Fail can acheive Greatly&quot;  JFK
"
68,0.0,"(continued) When you run down my husband's place of business, it could further hurt business. Sorry, but I take that seriously.
"
69,0.0,"having a &quot;oh crap, they're the wrong size, where can I buy the right sized ones *today* ?&quot; snow-chains nightmare
"
70,0.0,"Site is a ghosttown. We're dead in this ghosttown
"
71,0.0,"Is very sad to hear that Robert Anton Wilson died on Thursday :'(
"
72,0.0,"Well.. Today I realised.. I am a complete mess.. Why do I torture myself so much..
"
73,2.0,"is sick of sitting inside every weekend, I want to be busy!!
"
74,2.0,"a ovo sad je javna poruka
"
75,0.0,"sad to hear that Robert Jordan died
"
76,0.0,"Got sick tis morning and only had 3 beers last night.  I'm getting old!
"
77,2.0,"Can you get smarter by pretending to feel smarter? Trivia Night kicks off in 7 hours, and my team already told me I can't be dead weight.
"
78,1.0,"May have just brought a dead disk back to life! Jubilation!
"
79,1.0,"Go  back from Fry's and got a killer deal. $5.00 ethernet card!  Basking in buyer's victory.
"
80,0.0,"my insides are all mixed up. Im a very sad and horrible person.
"
81,0.0,"is sick of thinking about everything...
"
82,2.0,"@DonDonyetta drinking Orange Juice.. Her lips are sick.. The @thediva_kmarie tracks got Poison Ivy!
"
83,0.0,"I need a true vacation. But i cant see when that will ever happen again. I am terrible with money.
"
84,2.0,"and, now I'm dead in the water. three beeps @ startup, indicative of a mem issue. I need an itty-bitty screw driver to confirm.
"
85,1.0,"Laying out at the pool, I'm getting a killer tan
"
86,2.0,"no need to apologize. i get sad in the winter too.
"
87,1.0,"@susanreynolds doesn't hurt that he's an old buddy from highschool that hired me thru facebook. He is the BEST client ever though.
"
88,0.0,"I stay clear of emotions in general. Though I have nearly committed to being a failure myself.  I am seriously so myself its frightening...
"
89,2.0,"Left 4 Dead IS better on computer.
"
90,2.0,"Can y'all tell that my picture is Maggie asleep in her carseat? Or does it look like some medieval torture device?
"
91,0.0,"When you're sad, all songs are sad songs..... :(
"
92,2.0,"I almost forgot how terrible it is to have 3 bars of GPRS as a data connection. Come on o2 don't forget about us up north!!
"
93,1.0,"At the awesome Zellner vs. Duplass death match at Alamo South
"
94,2.0,"@joelcomm  I'm afraid as well. Go to a Goodwill Store near you to find all of that Polyester.
"
95,2.0,"OMFG. woot for sweets. I will be very sick Tomorrow. Also i an working on Spanish homework.
"
96,0.0,"Omgomg I almost stepped on a dead frog! :(
"
97,2.0,"How many papers do I have to write today? One. Oh thank god. I'm so sick of being a writer.
"
98,2.0,"@mspecht amazing that the girls don't realise they can get skin cancer doing that.
"
99,0.0,"Packing up for Grandma Fail's funeral in Price.  Sad.
"
100,0.0,"Celebrities . . .  America's royalty. Sad times.
"
101,0.0,"@willorchard interesting question posed by the Killers btw... I am extremely sick so tweeting from bed, but when I'm better...
"
102,0.0,"is sick and tired of his accedental tracking of keywords
"
103,0.0,"been working all afternoon on design layout. I am so sick of adobe indesign. Fact.
"
104,0.0,"watching some celebrity rehab 2....so sad = (
"
105,2.0,"@amymuppet Are you too sick to bite me?
"
106,2.0,"Definitely sex, but with an undercurrent of death - or at least otherworldliness.
"
107,2.0,"- I saw grief drinking a cup of sorrow &amp; called out, ""It tastes sweet, does it not?"" ""You've caught me,"" grief answered...(continued)
"
108,0.0,"Britons Among 12 Hurt in Maldives Bomb, UK Government Says - Bloomberg..
"
109,0.0,"Is quite saddened by the death of David Cameron's son.
"
110,2.0,"thinks Andy is probably more intuitive than Beantree (who is merely just sick of it)
"
111,0.0,"""Apple's iPhone delays Leopard until October"" --MacNN (That's sad news..)
"
112,0.0,"has been too sick to Twitter!
"
113,2.0,"So calling in sick today
"
114,2.0,"the death stars ridiculous changemanagement process is getting to me. only up side. working from home. i can baremy ass to the speaker phone
"
115,2.0,"Nothing like a little disaster recovery to get you going in the morning.
"
116,0.0,"hates the sad sleepy weather GLOOM!!
"
117,0.0,"@leTwitterGris &quot;Just say no&quot; to ALL Microsoft software! The cancer of electronics.
"
118,0.0,"Sad that Xax died :-(
"
119,0.0,"went to a spa weekend and hurt my back... all those massages down the drain
"
120,0.0,"Sick again. My throat feels like heck.
"
121,0.0,"@kapilb that is sad :-(
"
122,0.0,"Leaving the y wondering how much I'm going to hurt this week..vowing to never get this out of shape again
"
123,0.0,"Slept for 12 hours, now feel like death warmed up, what a stupid way to start a Monday, especially when I can't see to fin my glasses!!
"
124,2.0,"Dusted the lines off the clay court since I lost my games vs e and p, and doubles were stoped by a vicious rant from an outsider
"
125,2.0,"Mellow evening..... getting ready for Darrell's 3-hour surgery tomorrow morning.
"
126,1.0,"How to annoy a liberal, WORK succeed and be happy!!!
"
127,2.0,"Waiting for today's baseball games to start ... I hate when there's no day games!
"
128,0.0,"Waiting in line.I so f*u*c*k*i*n hate that.
"
129,1.0,"Target is insane - 24 season 1 for $19!
"
130,2.0,"why can i meet the jonas brothers but NOT nick swardson? wtf fml im mad bye.
"
131,0.0,"Yearg. Why do i choose to let my job stress me out. *rawr*
"
132,0.0,"bored reading through mountains of legal docs...
"
133,2.0,"what the hell do you call the heating bag that has rice in it?
"
134,0.0,"I HATE SMART BRO!!! anak ng p**a kayo! sayang ang binabayad!!! grrr....puro maintenance!!! wala nman pagbabago!! assssssssssaarrr!!
"
135,2.0,"scheduling more plastic surgery
"
136,0.0,"I hate it when I design a site for a personal project and feel like redoing it before it's even live.
"
137,0.0,"sooo cold. stupid oranges...
"
138,0.0,"in any acquisition, i hate wondering who my boss is or will be in the coming months
"
139,1.0,"@RobertaMurphy  We all owe a debt of gratitude to individuals like your Father.  Thank you.
"
140,0.0,"incredibly frustrated
"
141,0.0,"What the hell is going on with the q train this morning?
"
142,0.0,"When did Livejournal start this annoying hover-over &quot;snapshot&quot; thing for hyperlinks in entries? I just want to click the stupid link.
"
143,2.0,"@WYOMusicMan  uggg i Hate colds, try honey..and will be praying you.
"
144,2.0,"@MariaK gym at 12:30? It is all that is keeping me from violent ax oops acts
"
145,2.0,"What the hell is b talking about?
"
146,0.0,"faggot faggot motherrrrrrr. stupid fucking queero chemistry.
"
147,0.0,"Back from the gym...the damn coach, please stop your STUPID conversation!!!
"
148,0.0,"Stupid ballpoint pen ditching me again!  Yet another one. Sigh
"
149,2.0,"Really stress working at StarHub. Luckily I'm quitting.
"
150,0.0,"Was watching TV and thought, ""How come they show manboobs on TV but not chick's boobs?"" No fair! :( Anyways, bored at work...SLOWASHELL!
"
151,2.0,"@AmberCadabra I get like that too when I'm sick: can't do much of anything and I'm bored too! Maybe Twitter's the best place for you! :)
"
152,0.0,"Doubting I'll be able to go to gabbys now!!! Ahhh I hate parents
"
153,1.0,"@rkinkoph I know!  How the hell did it happen?  I'm addicted now too.....hehe.....
"
154,2.0,"I suspect I may be becoming a tea addict
"
155,0.0,"Sunday = bored bored bored.
"
156,2.0,"@CaliLewis just got on to Twitter to ask if anyone else was having the google problem - at least I'm not alone
"
157,2.0,"Where are we? What the hell is going on.
"
158,0.0,"Not even worth posting a link to that news story.  2 soundbites and I look fat fat fat.  Plus, I guess I sound nasally on pain killers.
"
159,2.0,"8:20...measuring in at 3 centimeters..they are going to give her some pain relief and check in another hour.
"
160,1.0,"Went to zombie shock night last night. An hour of 70s trailers and an hour of BURIAL GROUND flesh eating zombies. The 70s look scary fun.
"
161,2.0,"i need to be more patient. i jump to anger and frustration way to quickly. i want compassion but do not quickly give it to others.
"
162,1.0,"already addicted to twttr.com
"
163,2.0,"#FavoritePasttime watching Shirley Temple movies and Dennis The Menace Movies with my nana
"
164,0.0,"i'm so fucking mad right now. really. mad. mad. mad. MAD.
"
165,2.0,"@punkplugs - i was too insecure of a nerd to be a punk! now i'm too old-if i had a mohawk, it'd have 2 thin spots-in the front and the back!
"
166,1.0,"I got a Nokia N810 internet tablet.  Cool toy.  (I am addicted to gadgets!)
"
167,2.0,"limn is pricey - i made that mistake once. Damm dot com millionaires
"
168,0.0,"I am bored of meetings
"
169,2.0,"Got back from the barber's, lost a lot of hair and a lot of money.
"
170,2.0,"Jina, me too but only for the layout of ads and brochures etc. I never use Quark, I hate that app.
"
171,2.0,"Wrote some clever code; messed it up; starting over with svn. Thats a mistake you won't do three times...
"
172,2.0,"Listening to ""Red Devil Dawn"" while it rains in Durham.
"
173,2.0,"monster is getting good. anime for ppl who hate anime
"
174,2.0,"Wife: What are you twittering now? Me: Stupid shit.
"
175,2.0,"so full, expanding :s ah well, @ponk hey i got some homework to do before my lesson tomorrow morning. How bored are you? XD
"
176,2.0,"Had a break of Twitering. I actually bored myself.
"
177,1.0,"I lost 5.8 lbs in a week. Go me!
"
178,0.0,"Bored and missing human contact in general :(
"
179,2.0,"tummy ache :( But OMGZ, can't wait for McCanine to devour Obamarama with his st00pid bla bla blaz 2nite.
"
180,0.0,"Latest waste of time: Evan Almighty (2007)
"
181,2.0,"ahh 5pm..must be  nabaztag hate hour
"
182,2.0,"@Zettt Was war da denn so los?
"
183,2.0,"@spacecadette did coffee make the mistake of getting rays haircut?
"
184,2.0,"walking over to Adobe - I swear they are helpless without me!
"
185,2.0,"The morbid corollary to that is ""dead donors don't deliver"" - I'll assume bequeathing stuff in a will is different.
"
186,2.0,"Just met Mona Lisa Ironshield, has a bloody nose
"
187,1.0,"Found the two lost boys and put them up with Gwynne for a tour around the museum. =)
"
188,2.0,"Dad now coffee 5:00 am watching CNN war news. 
"
189,1.0,"Just finished Trauma Center on the DS. Fear my 1337 surgery skillz! 
"
190,0.0,"Having an insane day at work. Hectic doesn't even begin to describe it
"
191,0.0,"I know its a mans job, but i HATE workin on cars!!
"
192,0.0,"I honestly hate SkyStar2, AltDVB, ProgDVB and other similar shit ...
"
193,0.0,"bloody illiterate jerk..
"
194,2.0,"Hello tweeters...lol Im so bored
"
195,0.0,"Have I mentioned I hate this game?
"
196,0.0,"2 classes down, 5 to go.   I hate Saturdays.
"
197,1.0,"hidup biar cepat. damn. hayati is a genius, how the hell did she come out with this epic line.. i feel so honoured to have known her. LOL
"
198,0.0,"i hate twitter its soooo stupid
"
199,2.0,"Defining what drama and consequences mean to me...and rewatching Lost
"
200,0.0,"I hate airports, they are humanity stew.
"
201,2.0,"@industrygirl I think many men may fantasize about bimbos but those who actually go for them may be insecure
"
202,2.0,"taking a brain break - watching GH.  It's so stupid yet so entertaining.
"
203,1.0,"I'm working on my Contemplating Divorce website. My books came today and I'm THRILLED! I'll post the website as soon as I can. Stay tuned.
"
204,0.0,"loathing being sick for such an extended period of time.....i hate you cold HATEHATEHATE.
"
205,0.0,"I am bored out of my skull.  I don't want to be here anymore...I want to be back in Seattle.
"
206,1.0,"I WONT SLAP YOU KATIE *laughs*
"
207,2.0,"dirty rotten scoundrels. intermission after technical problems
"
208,0.0,"Beating myself up for not clocking in after lunch, lost 30 minutes on that one - doh!
"
209,0.0,"Being bored in class.
"
210,2.0,"@dentonmd charmer isn't the word i would use either, but he seems to think he is one, and i'd hate to burst his bubble
"
211,2.0,"Ouch. Just watched the internet bitch slap a newspaper.
"
212,2.0,"the light settles badly in between my ribs.like to dispose of it, but it's found a fondness for making me ill, and i'd hate to ruin its fun.
"
213,2.0,"I'm sure I lost stalkers too for ranting Mykul :)
"
214,0.0,"Thinking that I should be a professional in stressing out. I slept only three hours because of the great work related stress I'm under.
"
215,2.0,"@rogerbas : @Garrett_Loubser is speaking the truth. an actual toast to you in your absence at Fat Cactus....
"
216,2.0,"@larson: ever go to dirty dick's in Edinborough?  I got stunningly drunk there and lost my jacket.  That's about as much tale as I have.
"
217,2.0,"bratwurst war stories
"
218,2.0,"going for coffee and donuts. refuse to feel guilty
"
219,0.0,"played spore for an hour, unwhelmed and bored
"
220,2.0,"No one should vote for McCain because he will NOT release his medical record. Why? What is he hiding from the American people? Anger issues?
"
221,1.0,"Tw Ooh! Icecream!  What ever you do, icecream makes it better! Whether your watchin movies alone or hangin with buds!
"
222,0.0,"@atomicrose sorry to hear you're not feeling well--I feel your pain
"
223,0.0,"I cannot tell you how much I hate Windows Vista!
"
224,2.0,"Back in; Lost comes on on two hours. Putzing around on the PC until then.
"
225,0.0,"i'm stupid crazy good-for-nothing
"
226,2.0,"Being bored like always.
"
227,2.0,"freaking out because I'm getting a new phone (I hate transferring all that stuff)
"
228,2.0,"Recovering from Periodontal surgery
"
229,0.0,"@tenner You go to hell.  You go to hell and you DIE!
"
230,2.0,"Getting bored in class
"
231,0.0,"Walkin 2 school alone
"
232,2.0,"@GuillaumeCL @eplawless ss or its a lie :)
"
233,2.0,"Where's my bloody IRC server?
"
234,0.0,"riding the sober train to angry town.
"
235,2.0,"Slowly washing dishes. Bored at work!
"
236,1.0,"@NANA_se7en yeapp . So cute. Jealousy strikes. :DD
"
237,1.0,"@thisisntjon Oh hell yea @chrisx646 twitters!!!!!!!!
"
238,2.0,"- There is no shame in this. You've done remarkable things. But you are fighting a war that is already lost. - Yeah, well I'm known for that
"
239,2.0,"@larainefan he is obnoxious, selfish and a bully! that would be a no lol!! DAve doesn't get on with him either !!
"
240,0.0,"@Dirt_Nasty fuck you too hell
"
241,0.0,"Wtf!!! I just counted 25 mosquito bites on my legs this shit is retarded!!!
"
242,0.0,"fighting with regex this morning - man, I hate these
"
243,0.0,"THE GOV'T CANNOT CREATE JOBS DUMBUTT.  If you are gonna go through with this stupid porkulus bill, all you gonna do it short term jobs.
"
244,0.0,"Naaaaaaaaaaaaaaaaaaaaaaaaaaap. Need one. But also need to write papers, so many papers. Such a dilemma. Hate midterms.
"
245,0.0,"I keep forgetting my Klean Kanteen in my bike holder, but I don't want to go get it for fear of my lappy getting stolen.
"
246,0.0,"sweating her ass off........... i hate chicago weather!
"
247,2.0,"Getting bored of Travian
"
248,1.0,"@geminipinai au bon pain :-)
"
249,1.0,"So can not wait to see the new Resident Evil movie.
"
250,2.0,"whew...done cleaning the house...how does it get so dirty so quickly?
"
251,0.0,"Omg why an i drinking again? It's like i never stopped. Was i an idiot last night?
"
252,2.0,"Attempting to stop having a hang over. Being confused by women.
"
253,0.0,"Arg! I require a key for isomagic. Stupid uif format!
"
254,2.0,"Thinks england looked rusty but promising
"
255,2.0,"@jmlumpkin Live streaming vid on cnn.com still shows most of the cabin and tail above the surface. Not sure if the stream is delayed though
"
256,2.0,"goes off to do battle with evil bank ogres. Needs a bigger axe.
"
257,2.0,"DJ Kentaro album but I feel too woozy to be pummelling my head with Japanese basslines and dirty booty rapping.  I am not Nathan Barley.
"
258,0.0,"fire drills in the freezing cold = not cool.
"
259,2.0,"@diawalker u think that's something?  read this! NOOSE abuse!  FL BZ SUED FOR THREATENING BL WKR W NOOSE   follow me julieforjobs.blogspot
"
260,2.0,"having some trouble walking away from this track
"
261,2.0,"Not sure a firefox extension for twitter would rock, but a brain implant might be helpful (with cut and paste).
"
262,2.0,"un petit fight avec steevo de bon matin! la class^^ on est dans le meme gang maintenant!
"
263,2.0,"Cursing the Great Fire Wall
"
264,2.0,"fish &amp; chips at Reds coffee shop - a slow afternoon death by grease &amp; fat.
"
265,0.0,"flight delayed an hour  w00
"
266,2.0,"Data returns. The flood of email has returned to my phone.
"
267,2.0,"It's John Zorn week here. Trouble is, I'm not sure if it's this week or last week. Maybe it's both...
"
268,2.0,"I'm hungry and trying not to think about it.
"
269,0.0,"being confused by IRAS
"
270,1.0,"Dennis Leary: ""If the Popemobile cut you off in traffic and you immediately gave him the finger, you, my friend, are a real New Yorker.""
"
271,1.0,"Except a handful of Gossip earlier, it's been a day of Madonna songs. Seemed necessary &amp; I was right :) ""In the evidence of its brilliance""
"
272,0.0,"nasty cold, back to bed, and I was just bragging how healthy we've all been.
"
273,0.0,"I need a NANNY!  Husband at a work meeting, cold and rainy outside, bored kids, and I still am half-asleep from early morning waking.  Bleh.
"
274,2.0,"only the thought that the coffee i make might chase away my terrible headache made it partially leave:)
"
275,2.0,"Loving the AIrhorns and Bullet, Bullet, Bullet in this Reggae Mix CD from DJ Ron Don.  Wishing I can get to Trelawney, JA to see Cure Fest
"
276,2.0,"The scaR is a fleck on my porcelain skin
"
277,2.0,"@RossMaguire just goes to show how stupid some people are. Sad but true.
"
278,0.0,"blahhh i hate having a cold
"
279,0.0,"day 3 of Master Cleanse.  I am still fat, just now very hungry too.
"
280,0.0,"Confused by buses in berkeley, agonizing back pain, pining for the marina.
"
281,2.0,"going to the supermarket... maybe all the trouble will fix themself while i'm gone
"
282,2.0,"Another spider in the bedroom.  Should I kill it, or be merciful?
"
283,2.0,"Please remind me...did Obama happen to promise that he would promise to change the path of a hurricane to sweep Geraldo Rivera out to Cuba?
"
284,2.0,"#moonfruit is not to be confused with giving someone ""the fruitbowl"" when mooning.
"
285,0.0,"Trying to get up in the dark. Stupid time change!
"
286,2.0,"Garret is making me hungry
"
287,2.0,"Going to watch some Anime and drink tea against stress to try to feel better.
"
288,2.0,"@barefootmeg Actually, I could think of a few.... pity they don't wear pacemakers
"
289,2.0,"Played bridge with Rita S.  Gossip - Ricky Morgan is finally getting married (in Bay Head) and Richard Cunningham is getting divorced.
"
290,2.0,"i'm not sure why anyone whould blob using their cell phone. at least mine has a keyboard...
"
291,2.0,"ME HUNGRY- long day at work = hungry boy.
"
292,0.0,"Down with fever and headache again. Missed the dinner and stay in for  microwaved food. My immune system sucks big time.
"
293,2.0,"Yahoo web messenger makes tabs in browser have the words snake by when you're in another tab!  How'd they DO that?
"
294,1.0,"tweakin the funny-and that sounds dirty cause it is
"
295,2.0,"Silversun Pickups - Panic Switch
"
296,2.0,"chicken's on fire - Glass, work the grill!
"
297,2.0,"The Knife and tofu Ranchero
"
298,2.0,"I have embarrassed myself on the internet today. Twice.
"
299,0.0,"aaah! TiVo cut off the end of Lost!
"
300,0.0,"busy working for eeeeevil tobacco corporation
"
301,2.0,"Parallels is great... but I loathe launching it.  Also thinking it's time to dump the bootcamp partition altogether.  How I hate windows.
"
302,2.0,"Fire alex smith. Give me my faith back. And I cannot handle the shutout. ?!!!?!,!!
"
303,2.0,"cliqr's a bit slow today innit. i might take a photo of my winky and post it there
"
304,0.0,"mega jug and mega sick
"
305,2.0,"Sad, reading about how cut flowers are mostly unsustainably grown, 1/4 from hothouses in Kenya
"
306,0.0,"About ready to scream from the toothache...
"
307,0.0,"@alipha: I've been doing that every once in a while for a long time now. I still feel guilty about it.
"
308,2.0,"Wishing I had a cell phone... with unlimited TXT1NG 2.
"
309,2.0,"I'm out on a blind date.  With my luck with women this should be interesting
"
310,0.0,"CAS is still broken though. :-(
"
311,1.0,"@lisa-rodenis I'm doing good. No we didn't get any damage from ins
"
312,2.0,"I guess there is a hidden intercom speaker IN MY APARTMENT! They made a really loud announcement that the water is getting turned off. that scared the hell o...
"
313,0.0,"In stafford services on way to south. Nasty weather and delays all the way.
"
314,2.0,"I managed to crash the iphone os for the first time
"
315,0.0,"@babyface_GM  Hope for them was 'hoping' they all got rich from war and they did. The trouble is no one is gonna get them for war crimes.
"
316,2.0,"@bkgodfrey its ok-not great, not terrible. I'm alone all afternoon, my trainer left. Should be interesting. Having quite the fight eh?
"
317,2.0,"lol @BadDBaByJuiCie yu confused
"
318,0.0,"can u hide this pain to somewhere which i couldn't find it?
"
319,2.0,"watching two turkey vultures watching my dogs (emwr delayed due to lack of telephony -- off the grid, baby!)
"
320,1.0,"Enjoying a slow Monday.
"
321,0.0,"Changing time zones is a terrible thing - I didn't wake up until 11 this morning
"
322,0.0,"Had splitting headache last night. Had no Advil/Tylenol, so took cold medicine that had acetaminophen in it. Now i feel like I'm underwater.
"
323,2.0,"hungry hungry hungry hungry hungry!!!!!!!!!!!
"
324,2.0,"if you're following me for san diego fire updates, I've moved everything, along with some automation, to @sandiegofire
"
325,2.0,"Aqui de nuevo y todabia enfermo con gripe
"
326,0.0,"Don't you hate those weather symbols with the sun, a cloud and rain too?! How am I meant to decide what to wear for this meeting? grrrrrr.
"
327,2.0,"Almost time for me to get the hell out of here and go to thirsty thursday
"
328,0.0,"why the fck is my internet still so slow :(
"
329,2.0,"Maybe Simon is the freak for not having Country Dancing Day? My nose is on fire with wasabi!!
"
330,0.0,"e3 group is damn slow on DNS updates
"
331,2.0,"@tirtal so why cut it at all?  just get a trim if that's all you need..
"
332,2.0,"@dotnetguy, don't you understand how inferior you are in not getting it? :)
"
333,2.0,"@rbowen that along with something to cut cellphone signals and you'd be set.
"
334,2.0,"Dirty Fairytale - D.A.D
"
335,2.0,"Building a pole barn and it is stupid hot!
"
336,2.0,"thinks it's a pity twitter doesn't like links.
"
337,0.0,"@typicaltempest broken wrist :/
"
338,2.0,"it's scorching hot outside!
"
339,2.0,"Wait Crystal.... Did you cut your hair shorter since the NIN concert??
"
340,2.0,"survived tumbleweeds, a duststorm, the stench of cow manure, and a bit of hail but finally made it to L.A.
"
341,2.0,"Ben is still hungry after eating his first attempt at a ""Healthy Choice"" meal
"
342,2.0,"Tried posting via my cell the past few days and it was down
"
343,2.0,"Sweet. Aya went 2 fire island this morning, im debating 2 go or not , i have a shitty hangover.
"
344,2.0,"Sept. crude closes at $115.20/brl in NY, down $4.82, or 4%
"
345,2.0,"Getting anxious to get the hell outta here!
"
346,2.0,"is wringing hands over Leopard. Install over Tiger or bite the bullet for a fresh install? What say ye?
"
347,2.0,"Guy at the Light Rail Station this morning either had a handsfree cell phone or was shouting at a stick.
"
348,2.0,"finding new ways to get myself into trouble since 1978.
"
349,1.0,"No BoWax, few Robins, BUT an immature No. Shrike on 7 Lakes Road in Sloatsburg, NY.  Fabulous consolation prize!
"
350,2.0,"Well enough to be working on websites again. Frying pan and fire springs to mind.
"
351,2.0,"is desperately trying not to flood delicious with youtube bookmarks
"
352,2.0,"already getting hungry again
"
353,2.0,"@MsCharlotte me neither! I was too busy fighting off evil ladies with crazy eye-colors - bizarre!
"
354,2.0,"@girlygeekdom ah I see that's what confused me. Will try again now.
"
355,2.0,"I need a better widget for twitter.  I had a fight with twirl.  Any suggestions?
"
356,2.0,"That is, take it slow with Maker's Mark--huh, Marcus?
"
357,2.0,"Contractions finally slowing down. Thank goodness it was a false alarm!
"
358,2.0,"Just had to fight with VPN to try and clean out my inbox. Finally heading to bed.
"
359,1.0,"Decided that I'm cosplaying a fire nation soldier at Anime Boston and CTcon next year. XD
"
360,2.0,"has trouble accessing bund
"
361,0.0,"It's time for the Stooges again.  I HATE WRITING POLICY DOCUMENTS! It's a wiki. Just USE the bloody thing. And put that damn lawyer away.
"
362,2.0,"wondering if my cell phone is set up properly with twitter
"
363,1.0,"@cbear430 @caseyzaun there's a curb your enthusiasm episode where Larry David picks up a hooker for the sole purpose of driving in HOV
"
364,2.0,"@listensto Coldplay - Trouble
"
